NAME,ARTIST,AGE,DATE
Mike Gaborno,Manic Hispanic,51,1/4/2017
Johnny Dick,Fanny Adams,73,1/6/2017
Sylvester Potts,The Contours,78,1/6/2017
Eddie Kamae,Sons of Hawaii,89,1/7/2017
Jerzy Kossela,Czerwone Gitary,74,1/7/2017
Peter Sarstedt,Peter Sarstedt,75,1/8/2017
Tommy Allsup,Buddy Holly & The Crickets,85,1/11/2017
Larry Steinbachek,Bronski Beat,56,1/12/2017
Meir Banai,Meir Banai,55,1/12/2017
Muhammad Fachroni,Project Pop,44,1/13/2017
Richie Ingui,Soul Survivors,70,1/13/2017
"Charles ""Bobo"" Shaw","Charles ""Bobo"" Shaw",69,1/16/2017
Franz Jarnach,The Rattles,72,1/16/2017
Loalwa Braz,Loalwa Braz,63,1/19/2017
Ronald “Bingo” Mundy,The Marcels,76,1/20/2017
Joey Powers,Joey Powers,82,1/20/2017
Maggie Roche,The Roches,65,1/21/2017
Jaki Liebezeit,Can,78,1/22/2017
Pete Overend Watts,Mott the Hoople,69,1/22/2017
Bobby Freeman,Bobby Freeman,76,1/23/2017
Gil Ray,Game Theory,60,1/24/2017
Björn Thelin,The Spotnicks,74,1/24/2017
Butch Trucks,The Allman Brothers Band,69,1/24/2017
Guitar Gable,Guitar Gable,79,1/28/2017
Geoff Nicholls,Black Sabbath,68,1/28/2017
Elkin Ramírez,Kraken,54,1/29/2017
Deke Leonard,Man,72,1/31/2017
John Wetton,Asia,67,1/31/2017
Robert Dahlqvist,The Hellacopters,40,2/3/2017
Steve Lang,April Wine,67,2/4/2017
Noel Simms,Noel Simms,82,2/4/2017
David Axelrod,David Axelrod,83,2/5/2017
Sonny Geraci,The Outsiders,69,2/5/2017
It (Tony Särkkä),Abruptum,44,2/8/2017
Rina Matsuno,Shiritsu Ebisu Chugaku,18,2/8/2017
Tony Davis,The Spinners,86,2/10/2017
Damian,Damian,52,2/12/2017
Robert Fisher,Willard Grant Conspiracy,59,2/12/2017
Al Jarreau,Al Jarreau,76,2/12/2017
Trish Doan,Kittie,31,2/13/2017
Peter Skellern,Peter Skellern,69,2/17/2017
Clyde Stubblefield,Clyde Stubblefield,73,2/18/2017
Larry Coryell,The Eleventh House,73,2/19/2017
Hiroshi Kamayatsu,The Spiders,78,3/1/2017
Edi Fitzroy,Edi Fitzroy,62,3/4/2017
Ritchie Adams,Ritchie Adams,78,3/6/2017
Lars Diedricson,Snowstorm,55,3/6/2017
Robbie Hoddinoff,Kingfish,62,3/6/2017
Kalika Prasad Bhattacharya,Kalika Prasad Bhattacharya,56,3/7/2017
