Artist,Name,Age ,Death,Date,Position,Track Name,Streams,ID
Chuck Berry,Chuck Berry,90,3/18/2017,12/26/2017,190,Run Rudolph Run - Single Version,172290,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/25/2017,18,Run Rudolph Run - Single Version,867729,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/24/2017,37,Run Rudolph Run - Single Version,572110,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/23/2017,69,Run Rudolph Run - Single Version,426932,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/22/2017,84,Run Rudolph Run - Single Version,391994,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/21/2017,83,Run Rudolph Run - Single Version,336366,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/20/2017,92,Run Rudolph Run - Single Version,308561,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/19/2017,94,Run Rudolph Run - Single Version,300826,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/18/2017,108,Run Rudolph Run - Single Version,280323,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/17/2017,96,Run Rudolph Run - Single Version,277928,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/16/2017,117,Run Rudolph Run - Single Version,291421,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/15/2017,140,Run Rudolph Run - Single Version,271120,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/14/2017,130,Run Rudolph Run - Single Version,259777,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/13/2017,126,Run Rudolph Run - Single Version,259666,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/12/2017,133,Run Rudolph Run - Single Version,253701,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/11/2017,111,Run Rudolph Run - Single Version,268592,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/10/2017,87,Run Rudolph Run - Single Version,288871,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/9/2017,83,Run Rudolph Run - Single Version,329041,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/8/2017,135,Run Rudolph Run - Single Version,268819,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/7/2017,144,Run Rudolph Run - Single Version,249536,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/6/2017,143,Run Rudolph Run - Single Version,237295,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/5/2017,142,Run Rudolph Run - Single Version,242300,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/4/2017,114,Run Rudolph Run - Single Version,264246,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/3/2017,108,Run Rudolph Run - Single Version,259595,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/2/2017,114,Run Rudolph Run - Single Version,259523,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,12/1/2017,165,Run Rudolph Run - Single Version,225067,2pnPe4pJtq7689i5ydzvJJ
Chuck Berry,Chuck Berry,90,3/18/2017,11/30/2017,162,Run Rudolph Run - Single Version,211611,2pnPe4pJtq7689i5ydzvJJ
